	proteinID	n_peptides	protein_log2_fc_position_aware	protein_se	protein_z	protein_pval	position_intercept	position_intercept_se	position_slope	position_slope_se	position_pval	mean_relative_position	median_relative_position	n_term_fc	c_term_fc	delta_c_minus_n	model_type	protein_fdr	position_fdr	direction	position_trend	abs_log2_fc
0	A0A8L2QDW8	55	-3.9127552215682853	0.08676205267790209	-45.09754092718517	0.0	-3.873488517650442	0.2037944445612795	-0.08917042100155335	0.3934381630382769	0.8207005319568855	0.45102166705220137	0.45674300254452926	-3.9547689807910165	-4.322554895417377	-0.36778591462636046	weighted_position_regression	0.0	0.9075866095684887	Higher in DMSO	Stronger toward N-terminus	3.9127552215682853
1	A0A8I6AQ31	25	-4.764492663547746	0.12752103986714583	-37.362404419784355	1.5946430966730306e-305	-4.993378724745403	0.29339450808228656	0.3952780553956941	0.46350349636939564	0.3937675031553103	0.5393484419263456	0.5148725212464589	-5.20663280789941	-4.622474541483261	0.5841582664161491	weighted_position_regression	6.665608144093268e-303	0.6084836093120877	Higher in DMSO	Stronger toward C-terminus	4.764492663547746
2	M0R9X8	184	-1.3118201749898728	0.04300933131746334	-30.50082702534895	2.540896968943195e-204	-1.3297709661617245	0.11960784751740682	0.038115447662011984	0.2174799024654557	0.8608756298177462	0.46580274757154355	0.4407554885923375	-1.3527971909156689	-1.1615732475409233	0.19122394337474558	weighted_position_regression	7.08063288678837e-202	0.9310375504885329	Higher in DMSO	Stronger toward C-terminus	1.3118201749898728
3	A0A8I5YBZ6	33	-3.3149540981062575	0.11540039145336353	-28.725674639032064	1.8237944730452376e-181	-3.9981506346641167	0.2451950676903392	1.6279108943502758	0.5173694172599772	0.0016522849948771895	0.4011348217589737	0.3758480325644505	-3.6612997240617076	-2.4974512860592264	1.1638484380024812	weighted_position_regression	3.811730448664547e-179	0.009461029148748839	Higher in DMSO	Stronger toward C-terminus	3.3149540981062575
4	A0A0G2K1Y8	108	-1.3762869542698983	0.05635253195621922	-24.42280597683078	9.791631707402161e-132	0.0071753556862710595	0.11840562861837359	-3.391876542786711	0.24146965124558079	8.059124402410465e-45	0.4100150490762981	0.3376701361088871	-0.6028530447590154	-2.6899666872228334	-2.087113642463818	weighted_position_regression	1.6371608214776414e-129	4.4916186669434325e-43	Higher in DMSO	Stronger toward N-terminus	1.3762869542698983
5	Q5XIM9	22	2.94220542505529	0.12315682076299883	23.889910496449293	3.899381093017155e-126	2.222204070153961	0.30620427092756974	1.5832415401705704	0.5715301830227958	0.005602530426902796	0.4530586236193713	0.42570093457943925	2.5729384360028758	3.6379304327230413	1.0649919967201655	weighted_position_regression	5.433137656270569e-124	0.02573470020269636	Higher in OPP	Stronger toward C-terminus	2.94220542505529
6	O08623	5	4.754745368034534	0.256052497291391	18.569416109320635	5.681744121271036e-77	4.923454627949372	0.7102590413488726	-0.3897546050283925	1.3722871759397037	0.7763963932590587	0.5041002277904327	0.5068337129840547	4.6477485730438275	4.211062695860321	-0.43668587718350693	weighted_position_regression	6.785625836260837e-75	0.8842879901424702	Higher in OPP	Stronger toward N-terminus	4.754745368034534
7	A0A8I6GHK9	56	1.3724844209090428	0.07661106220014088	17.91496399467124	9.012744692385956e-72	2.895050603552928	0.15337079403776574	-2.8685332958067327	0.257179831010065	6.860957643317486e-29	0.5120961952620243	0.4457286432160804	2.255425610170761	0.33519959846147945	-1.9202260117092813	weighted_position_regression	9.418318203543324e-70	3.0188213630596937e-27	Higher in OPP	Stronger toward N-terminus	1.3724844209090428
8	P15205	92	1.009231429447633	0.058601529611315754	17.221929805271735	1.8182317644197005e-66	1.1898598987458429	0.17686569108387126	-0.37956979559870657	0.3205129043986128	0.23631116579111322	0.46357966892214186	0.50142218610321	0.9486439648273789	0.607953695203264	-0.34069026962411486	weighted_position_regression	1.6889352833942995e-64	0.44494624910218616	Higher in OPP	Stronger toward N-terminus	1.009231429447633
9	A0A8I6AM24	33	-1.6386465414498252	0.09947108374584321	-16.473596946391996	5.6790882249480024e-61	-1.3174934691229883	0.23406166476914086	-0.6991277652398222	0.4299639829085881	0.10394652402515203	0.4572419106317412	0.4402542372881356	-1.3007963471717583	-1.7779429351804124	-0.47714658800865406	weighted_position_regression	4.74771775605653e-59	0.2482836973857917	Higher in DMSO	Stronger toward N-terminus	1.6386465414498252
10	F1M4A4	16	2.17020962944923	0.13290237280662642	16.329352016964325	6.102909445431507e-60	3.9168738072322884	0.2756290175723667	-3.5680443374756328	0.48595327531218846	2.0985855487188118e-13	0.47581649091974226	0.4225248974809608	3.371436659737785	1.0244695869057012	-2.3469670728320837	weighted_position_regression	4.6382111785279455e-58	6.265776852603309e-12	Higher in OPP	Stronger toward N-terminus	2.17020962944923
11	A0A0G2K8P3	18	2.191725790278918	0.13577810950515967	16.141967201241894	1.2935200731737016e-58	3.0105345868398183	0.32847260628790115	-1.484457434015667	0.5441506969872439	0.006371452028412848	0.5352081765738651	0.5900112866817155	2.622809416092267	1.918743180913432	-0.7040662351788349	weighted_position_regression	9.011523176443455e-57	0.02848413847996332	Higher in OPP	Stronger toward N-terminus	2.191725790278918
12	A0A8I5ZJL1	45	-1.3167954176175463	0.08564954114683722	-15.374226177814982	2.4373806016036896e-53	-0.20445046880179732	0.19124199612263101	-2.6515186989275277	0.3806521404194604	3.2671333267531555e-12	0.39834409670475235	0.36363636363636365	-0.5644442400145839	-2.588601829075555	-2.0241575890609713	weighted_position_regression	1.5674232176466804e-51	8.276737761107994e-11	Higher in DMSO	Stronger toward N-terminus	1.3167954176175463
13	P12785	102	-0.8387066491065353	0.057076169078699904	-14.694515463188818	6.989666227462258e-49	-0.36086361863442334	0.15799656270071108	-0.9176878014973111	0.2659393753187401	0.0005590505994105399	0.5188818441548276	0.551996007984032	-0.4935056228292145	-1.021702417593708	-0.5281967947644934	weighted_position_regression	4.1738292615417485e-47	0.003927447908463962	Higher in DMSO	Stronger toward N-terminus	0.8387066491065353
14	P63018	40	1.4838314536567752	0.10364126237475549	14.316995177957237	1.7137426499118787e-46	1.3750410170771532	0.3420562278653866	0.2721764024620066	0.7107256119820076	0.7017526336997664	0.40005804953560375	0.37422600619195046	1.3673951954524957	1.608124977566414	0.24072978211391827	weighted_position_regression	9.55125903550887e-45	0.850239422859427	Higher in OPP	Stronger toward C-terminus	1.4838314536567752
15	A0A8L2QDW2	35	-1.349215744111592	0.0955321024265572	-14.123166033625575	2.7342574234313634e-45	-1.1608084823180902	0.20965111310020898	-0.47545829400108186	0.46464040719103245	0.3061744007746421	0.37787114845938374	0.41456582633053224	-1.2813581358950596	-1.847732801808357	-0.5663746659132973	weighted_position_regression	1.4286495037428874e-43	0.5172962617865262	Higher in DMSO	Stronger toward N-terminus	1.349215744111592
16	Q5I0D1	12	-2.369448069959122	0.17796764908139934	-13.31392577352852	1.921157945786337e-40	-1.7906234731257478	0.20479649068039227	-1.1840737078005072	0.3587673326136233	0.0009654902879292126	0.4939876957494407	0.5067114093959731	-1.9017610414837534	-2.7277552343667564	-0.825994192883003	weighted_position_regression	9.447576721631634e-39	0.006023506572453894	Higher in DMSO	Stronger toward N-terminus	2.369448069959122
17	A0A8I5ZXF4	30	1.4110423440536626	0.10690939284750559	13.198488051151486	8.951367234230527e-40	1.5957616062464932	0.2368075800616488	-0.371856536937363	0.41852986157884425	0.37428116342380524	0.5138206388206388	0.4963144963144963	1.5569976227287956	1.2337577545133567	-0.32323986821543893	weighted_position_regression	4.1574127821204e-38	0.5892637525843714	Higher in OPP	Stronger toward N-terminus	1.4110423440536626
18	A0A8J8XU90	21	-1.6553246978420693	0.12546844189479714	-13.19315576764735	9.60774672082073e-40	-0.416620611914476	0.28264642529209577	-2.572273736325904	0.5107489044278468	4.746697515487078e-07	0.468522391288671	0.5095911155981827	-0.8452327574693109	-2.26833613589093	-1.4231033784216192	weighted_position_regression	4.227408557161121e-38	6.6137318715786616e-06	Higher in DMSO	Stronger toward N-terminus	1.6553246978420693
19	D4A5I4	9	2.321387937280615	0.1785530629640325	13.001109579107206	1.2058096283299908e-38	3.137015943194433	0.5905893229996491	-1.7643797038851117	1.1841389332283867	0.13622141740484237	0.47294506402313097	0.44261152416356875	2.193725404558311	1.3041142679721813	-0.8896111365861297	weighted_position_regression	5.040284246419361e-37	0.30113621925166706	Higher in OPP	Stronger toward N-terminus	2.321387937280615
20	A0A8L2QDI1	34	1.288495448392034	0.10019833467114125	12.859449736574728	7.611658477897999e-38	1.445452388830973	0.1938589048459133	-0.30205998901799025	0.32149417732067936	0.34744821863040465	0.513897620116749	0.533969465648855	1.3867181711321133	1.171929130538537	-0.21478904059357617	weighted_position_regression	3.030164994058442e-36	0.5618311620406543	Higher in OPP	Stronger toward N-terminus	1.288495448392034
21	A0A8I6AGZ0	80	-0.7592995273024115	0.06608270901175642	-11.490139230934503	1.4787340880631011e-30	0.20668899739038646	0.12945755910955994	-2.112558220219054	0.24191518100405562	2.4879569498098878e-18	0.45857238406658746	0.49123067776456597	-0.1633186057251304	-1.5036195673964023	-1.340300961671272	weighted_position_regression	5.619189534639784e-29	9.043182652352461e-17	Higher in DMSO	Stronger toward N-terminus	0.7592995273024115
